timestamp(ms),GPS[0].Lat,GPS[0].Lng,BARO[0].AltAMSL,ARSP[0].Airspeed,GPS[0].Spd,CTUN.As
527701.0611260935,527808818,-7076164,176.11866760253906,14.242598533630371,15.210000991821289,14.127758026123047
527801.0611260935,527808818,-7076164,176.4270477294922,14.552961349487305,15.210000991821289,14.162307739257812
527901.0611260935,527808761,-7076596,176.5702362060547,14.421587944030762,15.086000442504883,14.28062629699707
528001.0611260935,527808761,-7076596,177.02455139160156,15.606547355651855,15.086000442504883,14.323060989379883
528101.0611260935,527808707,-7077028,177.42657470703125,14.604043006896973,15.101000785827637,14.719862937927246
528201.0611260935,527808707,-7077028,177.91944885253906,14.660601615905762,15.101000785827637,14.685213088989258
528301.0611260935,527808653,-7077465,177.76800537109375,14.421587944030762,15.225000381469727,14.677833557128906
528401.0611260935,527808653,-7077465,177.26686096191406,14.728178024291992,15.225000381469727,14.601432800292969
528501.0611260935,527808597,-7077905,176.672119140625,14.392868041992188,15.278000831604004,14.639571189880371
528601.0611260935,527808597,-7077905,175.98373413085938,13.990537643432617,15.278000831604004,14.565999031066895
528701.0611260935,527808535,-7078350,175.6698455810547,13.955005645751953,15.579000473022461,14.39577579498291
528801.0611260935,527808535,-7078350,175.40826416015625,13.895577430725098,15.579000473022461,14.264975547790527
528901.0611260935,527808460,-7078801,175.25682067871094,12.86913013458252,16.038000106811523,14.155168533325195
529001.0611260935,527808460,-7078801,175.4633331298828,12.875560760498047,16.038000106811523,13.781963348388672
529101.0611260935,527808367,-7079249,175.81578063964844,12.946065902709961,15.916000366210938,13.516426086425781
529201.0611260935,527808367,-7079249,175.7772216796875,13.496824264526367,15.916000366210938,13.347877502441406
529301.0611260935,527808261,-7079682,175.9534454345703,13.949076652526855,15.50300121307373,13.392735481262207
529401.0611260935,527808261,-7079682,176.22604370117188,14.5700101852417,15.50300121307373,13.562034606933594
529501.0611260935,527808157,-7080104,176.59776306152344,14.329484939575195,15.051000595092773,13.872119903564453
529601.0611260935,527808157,-7080104,176.95297241210938,14.020081520080566,15.051000595092773,14.010896682739258
529701.0611260935,527808056,-7080520,177.4541015625,14.230977058410645,14.985000610351562,14.013652801513672
529801.0611260935,527808056,-7080520,177.93321228027344,14.398616790771484,14.985000610351562,14.079202651977539
529901.0611260935,527807957,-7080941,178.34347534179688,14.421587944030762,15.3100004196167,14.175783157348633
530001.0611260935,527807957,-7080941,178.4563751220703,14.415847778320312,15.3100004196167,14.249969482421875
530101.0611260935,527807861,-7081363,178.27464294433594,14.507402420043945,15.143000602722168,14.299935340881348
530201.0611260935,527807861,-7081363,177.85060119628906,14.410107612609863,15.143000602722168,14.3624906539917
530301.0611260935,527807762,-7081781,177.2641143798828,14.53020191192627,15.133000373840332,14.376791954040527
530401.0611260935,527807762,-7081781,176.65834045410156,14.438793182373047,15.133000373840332,14.42298698425293
530501.0611260935,527807661,-7082200,176.2783660888672,14.055447578430176,15.380001068115234,14.427730560302734
530601.0611260935,527807661,-7082200,176.10765075683594,13.63711166381836,15.380001068115234,14.317062377929688
530701.0611260935,527807554,-7082624,176.19851684570312,12.869135856628418,15.758000373840332,14.11651611328125
530801.0611260935,527807554,-7082624,176.1709747314453,12.62242317199707,15.758000373840332,13.754185676574707
530901.0611260935,527807440,-7083049,176.03054809570312,12.57645034790039,15.710000991821289,13.424678802490234
531001.0611260935,527807440,-7083049,175.95895385742188,12.824044227600098,15.710000991821289,13.175945281982422
531101.0611260935,527807322,-7083465,176.02780151367188,12.253179550170898,15.49000072479248,13.071369171142578
531201.0611260935,527807322,-7083465,176.16822814941406,12.662787437438965,15.49000072479248,12.831392288208008
531301.0611260935,527807203,-7083875,176.47109985351562,13.31163215637207,15.330000877380371,12.781044006347656
531401.0611260935,527807203,-7083875,176.8290557861328,13.85980224609375,15.330000877380371,12.9425048828125
531501.0611260935,527807085,-7084282,177.29164123535156,13.79397201538086,15.30000114440918,13.22437572479248
531601.0611260935,527807085,-7084282,177.6440887451172,13.799971580505371,15.30000114440918,13.397797584533691
531701.0611260935,527806967,-7084694,178.1782684326172,14.020079612731934,15.467000961303711,13.519705772399902
531801.0611260935,527806967,-7084694,178.5802764892578,14.392868041992188,15.467000961303711,13.671741485595703
531901.0611260935,527806849,-7085110,178.80055236816406,14.444520950317383,15.585000991821289,13.892010688781738
532001.0611260935,527806849,-7085110,178.4288330078125,14.294795989990234,15.585000991821289,14.060043334960938
532101.0611260935,527806732,-7085529,177.84234619140625,14.143484115600586,15.584000587463379,14.130878448486328
532201.0611260935,527806732,-7085529,177.20077514648438,14.025980949401855,15.584000587463379,14.134661674499512
532301.0611260935,527806616,-7085951,176.67486572265625,14.172710418701172,15.758000373840332,14.10214614868164
532401.0611260935,527806616,-7085951,176.55921936035156,14.230977058410645,15.758000373840332,14.12335205078125
532501.0611260935,527806494,-7086376,176.4298095703125,13.211790084838867,16.011001586914062,14.155725479125977
532601.0611260935,527806494,-7086376,176.53994750976562,12.609305381774902,16.011001586914062,13.879287719726562
532701.0611260935,527806368,-7086803,176.27560424804688,12.543508529663086,16.161001205444336,13.510833740234375
532801.0611260935,527806368,-7086803,176.03054809570312,13.016185760498047,16.161001205444336,13.228065490722656
532901.0611260935,527806237,-7087228,176.08010864257812,13.61281681060791,16.01300048828125,13.164859771728516
533001.0611260935,527806237,-7087228,176.22604370117188,13.937204360961914,16.01300048828125,13.300830841064453
533101.0611260935,527806106,-7087646,176.7051544189453,14.277416229248047,15.786001205444336,13.494894981384277
