timestamp(ms),CTUN.ThO,ARSP[0].Airspeed,CTUN.As,ARSP[0].DiffPress,ARSP[0].Temp,ATT.Pitch,ATT.Roll,RCOU.C3,RCOU.C11,AOA.AOA,IMU[0].AccX,IMU[0].AccZ
346489.01797164755,91.31212615966797,13.612818717956543,14.544032096862793,117.80599975585938,25.75,7.604784965515137,-4.582517147064209,1481,1744,13.174896240234375,3.9872679710388184,-21.970365524291992
346589.01797164755,91.4216537475586,13.009821891784668,14.101306915283203,107.60043334960938,25.75,12.492654800415039,-4.309621810913086,1480,1692,12.710987091064453,4.4117631912231445,-23.429840087890625
346689.01797164755,91.59457397460938,13.085931777954102,13.80453872680664,108.86306762695312,25.75,14.824996948242188,-3.787160873413086,1484,1655,11.131546020507812,4.001760005950928,-21.50041389465332
346789.01797164755,91.5848617553711,13.533564567565918,13.723808288574219,116.43826293945312,25.75,17.31671714782715,-3.1269514560699463,1478,1593,8.945646286010742,3.6870481967926025,-20.988876342773438
346889.01797164755,91.6673812866211,14.002363204956055,13.807965278625488,124.64474487304688,25.75,17.988834381103516,-2.7335686683654785,1478,1560,6.574641704559326,2.543623685836792,-16.924510955810547
346989.01797164755,91.35687255859375,14.867045402526855,14.134024620056152,140.51434326171875,25.75,17.77155303955078,-2.209604024887085,1479,1502,4.169063091278076,2.126779317855835,-14.800711631774902
347089.01797164755,90.69020080566406,15.028511047363281,14.408202171325684,143.58306884765625,25.75,16.828933715820312,-1.714423656463623,1484,1484,1.6193654537200928,1.812085509300232,-12.157397270202637
347189.01797164755,87.9979476928711,14.996355056762695,14.587138175964355,142.96926879882812,25.75,13.982236862182617,-0.6015801429748535,1501,1473,-0.647283673286438,1.4313162565231323,-8.959142684936523
347289.01797164755,87.3312759399414,15.24716567993164,14.788240432739258,147.79153442382812,25.75,11.20966625213623,0.18396680057048798,1514,1491,-2.8583085536956787,1.1815158128738403,-5.407144069671631
347389.01797164755,82.82662963867188,15.247162818908691,14.927398681640625,147.79147338867188,25.75,5.986856937408447,1.2697629928588867,1534,1562,-4.4477033615112305,1.0463112592697144,-2.039464235305786
347489.01797164755,82.1256103515625,14.323710441589355,14.748886108398438,130.43145751953125,25.75,2.000192165374756,1.8107728958129883,1542,1612,-5.558369159698486,0.7524531483650208,0.47349467873573303
347589.01797164755,78.4765853881836,14.82059383392334,14.770435333251953,139.63763427734375,25.75,-3.3890273571014404,1.8767775297164917,1541,1697,-5.669819355010986,0.7057456374168396,2.6517364978790283
347689.01797164755,77.8099136352539,14.421586036682129,14.666651725769043,132.22006225585938,25.69,-6.162224292755127,1.560618281364441,1542,1742,-4.573673725128174,0.3894211947917938,2.632143974304199
347789.01797164755,77.68317413330078,14.967820167541504,14.757648468017578,142.42572021484375,25.65,-8.80070686340332,1.6738675832748413,1549,1804,-2.3595685958862305,-0.15029945969581604,1.2684698104858398
347889.01797164755,78.34984588623047,14.701464653015137,14.740815162658691,137.40182495117188,25.65,-9.239041328430176,1.844698429107666,1551,1821,0.18084511160850525,-0.22760899364948273,-2.2721760272979736
347989.01797164755,81.05044555664062,14.590821266174316,14.695978164672852,135.3414306640625,25.65,-7.933723449707031,2.0065605640411377,1554,1836,3.1833598613739014,0.021741867065429688,-5.452042102813721
348089.01797164755,81.71711730957031,14.778658866882324,14.720831871032715,138.84854125976562,25.65,-5.806696891784668,1.7714042663574219,1551,1827,6.02364444732666,0.3324052393436432,-9.34965705871582
348189.01797164755,85.38199615478516,14.62669563293457,14.69265365600586,136.00778198242188,25.65,-1.2247506380081177,1.0023529529571533,1542,1796,8.700230598449707,1.3318798542022705,-13.941147804260254
348289.01797164755,86.04866790771484,14.575689315795898,14.657662391662598,135.06085205078125,25.65,2.541210412979126,0.24861697852611542,1532,1765,10.877197265625,1.9292539358139038,-17.480905532836914
348389.01797164755,87.91790008544922,13.726320266723633,14.38459300994873,119.7786865234375,25.65,8.518594741821289,-1.1858582496643066,1509,1714,12.24733829498291,3.2180564403533936,-20.608062744140625
348489.01797164755,88.08873748779297,12.952451705932617,13.97037410736084,106.65353393554688,25.65,11.940463066101074,-1.9596610069274902,1500,1675,12.31407356262207,4.240541934967041,-21.44784927368164
348589.01797164755,87.85696411132812,12.04544448852539,13.421914100646973,92.239501953125,25.65,15.649060249328613,-2.155932903289795,1493,1628,10.749465942382812,4.348307132720947,-23.07632064819336
348689.01797164755,87.74358367919922,12.364104270935059,13.113533973693848,97.18441772460938,25.65,16.930429458618164,-2.130608558654785,1485,1600,7.98237419128418,3.9185140132904053,-20.38705825805664
348789.01797164755,87.6712417602539,13.14901351928711,13.124187469482422,109.9151611328125,25.65,17.082874298095703,-1.8671594858169556,1484,1535,4.704989433288574,3.399893283843994,-17.387107849121094
348889.01797164755,87.00457000732422,13.15530014038086,13.133529663085938,110.02029418945312,25.65,16.420167922973633,-1.2462493181228638,1487,1521,1.629449725151062,3.2805440425872803,-13.34326457977295
348989.01797164755,86.20369720458984,14.04956340789795,13.414908409118652,125.48648071289062,25.65,13.916682243347168,-1.367857813835144,1479,1487,0.015445164404809697,1.9368340969085693,-6.3695855140686035
349089.01797164755,85.87761688232422,14.541586875915527,13.76259994506836,134.42959594726562,25.65,11.496894836425781,-1.0996530055999756,1497,1486,-0.7223344445228577,1.684756875038147,-4.140328407287598
349189.01797164755,84.27024841308594,14.061333656311035,13.852896690368652,125.69683837890625,25.65,7.214380264282227,0.45128193497657776,1532,1540,-2.3451004028320312,1.958213210105896,-5.104092597961426
