Lat,Long
52.780428,-0.706935
52.779657,-0.707095
52.779381,-0.711187
52.778873,-0.713239
52.779704,-0.714339
52.782536,-0.71266
52.784418,-0.71098
52.784554,-0.708824
52.782888,-0.70625
52.781843,-0.704183
52.781058,-0.704472
